 Bit Depth        ROP   ROP m/hr        WOB        RPM     TORQUE        SPP    FLWpmps T GAS main   C1  main   C2  main   C3  main   iC4 main   nC4 main   iC5 main   nC5 main        CO2   H2S Atmo   H2S Unit 
        ft       mn/f      ft/hr       klbs        rpm      lb*ft        psi        gpm   Units_20        ppm        ppm        ppm        ppm        ppm        ppm        ppm          %        ppm        ppm 
     390.0       0.45     133.95        4.4         91        643        650        508        0.0          0          0          0          0          0          0          0          0          0          0 
     395.0       0.41     146.12        2.3        103        418        696        526        0.0          0          0          0          0          0          0          0          0          0          0 
     400.0       0.41     147.87        2.0        108        888        700        526        0.0          0          0          0          0          0          0          0          0          0          0 
     405.0       0.38     156.13        2.6        108       1114        700        526        0.0          0          0          0          0          0          0          0          0          0          0 
     410.0       0.39     154.61        2.6        108       1144        697        526        0.0          0          0          0          0          0          0          0          0          0          0 
     415.0       0.51     118.06        2.2         83        699        712        531        0.0          0          0          0          0          0          0          0          0          0          0 
     420.0       0.41     146.12        2.3        103        418        696        526        0.0          0          0          0          0          0          0          0          0          0          0 
     425.0       0.40     148.44        1.7         57         36        678        524        0.0          0          0          0          0          0          0          0          0          0          0 
     430.0       0.40     149.84        2.1         57         38        679        524        0.0          0          0          0          0          0          0          0          0          0          0 
     435.0       0.46     131.85        3.0         57         90        675        524        0.0          0          0          0          0          0          0          0          0          0          0 
     440.0       0.38     157.52        4.0         57        123        686        524        0.0          0          0          0          0          0          0          0          0          0          0 
     445.0       0.39     154.27        3.1         57         30        694        524        0.0          0          0          0          0          0          0          0          0          0          0 
     450.0       0.39     152.59        1.6         57         77        691        524        0.0          0          0          0          0          0          0          0          0          0          0 
     455.0       0.47     127.45        1.4         57         70        693        524        0.0          0          0          0          0          0          0          0          0          0          0 
     460.0       0.39     153.13        0.8         57         39        675        524        0.0          0          0          0          0          0          0          0          0          0          0 
     465.0       0.51     118.06        3.1         57        269        689        523        0.0          0          0          0          0          0          0          0          0          0          0 
     470.0       0.57     105.08        1.5         66        181        693        523        0.0          0          0          0          0          0          0          0          0          0          0 
     475.0       0.39     153.81        2.1         98        537        684        523        0.0          0          0          0          0          0          0          0          0          0          0 
     480.0       1.09      54.82        2.8         96        737        695        522        0.0          0          0          0          0          0          0          0          0          0          0 
     485.0       1.48      40.63        4.9         54        276        664        498        0.0          0          0          0          0          0          0          0          0          0          0 
     490.0       1.60      37.55        4.4         54        274        670        498        0.0          0          0          0          0          0          0          0          0          0          0 
     495.0       1.54      38.86        5.4         54        257        677        498        0.0          0          0          0          0          0          0          0          0          0          0 
     500.0       1.01      59.40        5.8         54        388        697        498        0.0          0          0          0          0          0          0          0          0          0          0 
     505.0       0.50     120.20        4.3         54        316        686        498        0.0          0          0          0          0          0          0          0          0          0          0 
     510.0       0.64      93.26        4.6         54        323        680        497        0.0          0          0          0          0          0          0          0          0          0          0 
     510.0       0.64      93.26        4.6         54        323        680        497        0.0          0          0          0          0          0          0          0          0          0          0 
     520.0       0.53     113.33        4.8         53        405        665        488        0.0          0          0          0          0          0          0          0          0          0          0 
     525.0       0.87      69.32        6.5         54        322        683        493        0.0          0          0          0          0          0          0          0          0          0          0 
     530.0       0.56     106.44        5.0         54        393        699        500        0.0          0          0          0          0          0          0          0          0          0          0 
     535.0       1.65      36.43        6.3         54        244        704        500        0.0          0          0          0          0          0          0          0          0          0          0 
     540.0       1.01      59.63        4.3         53        182        686        490        0.0          0          0          0          0          0          0          0          0          0          0 
     545.0       0.76      78.86        4.7         54        443        703        495        0.0          0          0          0          0          0          0          0          0          0          0 
     550.0       0.95      63.06        6.2         54        526        716        495        0.0          0          0          0          0          0          0          0          0          0          0 
     555.0       0.78      76.55        5.4         56        448        749        517        0.0          0          0          0          0          0          0          0          0          0          0 
     560.0       0.61      98.74        3.7         88        766        859        572        0.0          0          0          0          0          0          0          0          0          0          0 
     565.0       0.71      84.09        3.4        103        940        886        580        0.0          0          0          0          0          0          0          0          0          0          0 
     570.0       0.51     118.59        2.7        113        977        922        598        0.0          0          0          0          0          0          0          0          0          0          0 
     575.0       0.72      83.72        3.7        115       1072        919        598        0.0          0          0          0          0          0          0          0          0          0          0 
     575.0       0.72      83.72        3.7        115       1072        919        598          0          0          0          0          0          0          0          0          0          0          0 
     580.0       0.54     112.13        2.2        116       1055        938        611        0.0          0          0          0          0          0          0          0          0          0          0 
     585.0       0.89      67.53        4.1         71        473        959        621        0.0          0          0          0          0          0          0          0          0          0          0 
     590.0       0.83      72.11        4.6         68        504        969        621        0.0          0          0          0          0          0          0          0          0          0          0 
     595.0       0.88      68.40        4.2         68        423        976        622        0.0          0          0          0          0          0          0          0          0          0          0 
     600.0       1.35      44.50        3.6         70        278       1000        646        0.0          0          0          0          0          0          0          0          0          0          0 
     605.0       0.99      60.36        3.4         70        495       1020        646        0.0          0          0          0          0          0          0          0          0          0          0 
     610.0       0.81      74.33        2.7         70        460       1009        646        0.0          0          0          0          0          0          0          0          0          0          0 
     615.0       0.98      60.94        3.6         72        407       1030        653        0.0          0          0          0          0          0          0          0          0          0          0 
     620.0       1.11      54.03        4.2         75        247       1084        677        0.0          0          0          0          0          0          0          0          0          0          0 
     625.0       0.76      78.89        7.7         74        409       1098        678        0.0          0          0          0          0          0          0          0          0          0          0 
     630.0       0.65      91.96        7.3         74        462       1084        678        0.0          0          0          0          0          0          0          0          0          0          0 
     635.0       0.60      99.43        6.2        105        899       1116        690        0.0          0          0          0          0          0          0          0          0          0          0 
     640.0       0.54     111.83        6.6        126       1066       1150        697        0.0          0          0          0          0          0          0          0          0          0          0 
     645.0       0.57     105.99        4.0        126        869       1122        697        0.0          0          0          0          0          0          0          0          0          0          0 
     650.0       0.40     148.58        5.5        126       1052       1134        697        0.0          0          0          0          0          0          0          0          0          0          0 
     655.0       0.62      96.68        6.8        126       1062       1142        697        0.0          0          0          0          0          0          0          0          0          0          0 
     660.0       0.43     140.37        4.6        126       1093       1129        697        0.0          0          0          0          0          0          0          0          0          0          0 
     665.0       0.59     102.15        6.2         95        675       1115        697        0.0          0          0          0          0          0          0          0          0          0          0 
     670.0       0.63      94.57        6.5         76        420       1110        697        0.0          0          0          0          0          0          0          0          0          0          0 
     675.0       0.86      69.85        7.6         76        416       1112        697        0.0          0          0          0          0          0          0          0          0          0          0 
     680.0       0.55     108.64        5.8         76        398       1106        697        0.0          0          0          0          0          0          0          0          0          0          0 
     685.0       0.60      99.26        7.0         76        375       1098        697        0.0          0          0          0          0          0          0          0          0          0          0 
     690.0       0.92      65.10        9.0         76        475       1114        697        0.0          0          0          0          0          0          0          0          0          0          0 
     695.0       0.83      72.28        7.8         76        436       1121        696        0.0          0          0          0          0          0          0          0          0          0          0 
     700.0       0.56     107.18        7.5         76        425       1123        696        0.0          0          0          0          0          0          0          0          0          0          0 
     705.0       0.56     107.18        7.5         76        425       1123        696        0.0          0          0          0          0          0          0          0          0          0          0 
     710.0       0.84      71.43        5.9        108        754       1135        703        0.0          0          0          0          0          0          0          0          0          0          0 
     715.0       0.47     126.73        4.9        129       1040       1188        726        0.0          0          0          0          0          0          0          0          0          0          0 
     720.0       0.52     116.36        5.9        130       1093       1223        734        0.0          0          0          0          0          0          0          0          0          0          0 
     725.0       0.44     136.57        4.8        131       1041       1247        746        0.0          0          0          0          0          0          0          0          0          0          0 
     730.0       1.04      57.47        2.9         86        297       1085        686        0.0          0          0          0          0          0          0          0          0          0          0 
     735.0       1.59      37.84        4.5         73        296       1034        667        0.0          0          0          0          0          0          0          0          0          0          0 
     740.0       1.46      41.11        4.7         73         69       1044        667        0.0          0          0          0          0          0          0          0          0          0          0 
     745.0       1.19      50.56        4.4         73        139       1048        667        0.0          0          0          0          0          0          0          0          0          0          0 
     750.0       0.68      87.78        4.4         73        117       1056        667        0.0          0          0          0          0          0          0          0          0          0          0 
     755.0       0.65      92.23        6.2         73        177       1055        670        0.0          0          0          0          0          0          0          0          0          0          0 
     760.0       1.05      57.27        5.9         73        250       1051        672        0.0          0          0          0          0          0          0          0          0          0          0 
     765.0       0.81      73.91        7.6         73        457       1063        672        0.0          0          0          0          0          0          0          0          0          0          0 
     770.0       1.00      60.02        8.6         73        577       1071        672        0.0          0          0          0          0          0          0          0          0          0          0 
     775.0       0.91      66.23        7.2         80        570       1074        678        0.0          0          0          0          0          0          0          0          0          0          0 
     780.0       0.77      77.68        6.4        129       1055       1192        728        0.0          0          0          0          0          0          0          0          0          0          0 
     785.0       0.50     119.14        5.6        134       1196       1315        770        0.0          0          0          0          0          0          0          0          0          0          0 
     790.0       0.51     117.46        7.0        134       1304       1327        770        0.0          0          0          0          0          0          0          0          0          0          0 
     795.0       0.59     101.95        7.3        134       1261       1320        770        0.0          0          0          0          0          0          0          0          0          0          0 
     800.0       0.91      65.82        4.8         98        626       1163        713        0.0          0          0          0          0          0          0          0          0          0          0 
     805.0       0.82      73.59        7.0         73        113       1058        674        0.0          0          0          0          0          0          0          0          0          0          0 
     810.0       1.69      35.55       11.1         73         93       1070        674        0.0          0          0          0          0          0          0          0          0          0          0 
     815.0       1.12      53.66       11.3         93        463       1158        705        0.0          0          0          0          0          0          0          0          0          0          0 
     820.0       0.40     150.67        9.3        134       1031       1308        770        0.0          0          0          0          0          0          0          0          0          0          0 
     820.0       0.40     150.67        9.3        134       1031       1308        770        0.0          0          0          0          0          0          0          0          0          0          0 
     830.0       0.43     140.29       12.2        134       1356       1331        770        0.0          0          0          0          0          0          0          0          0          0          0 
     835.0       0.52     114.52       12.6        134       1302       1339        770        0.0          0          0          0          0          0          0          0          0          0          0 
     840.0       0.61      98.79       12.9        134       1209       1341        770        0.0          0          0          0          0          0          0          0          0          0          0 
     845.0       0.75      79.57       11.5        134       1196       1324        770        0.0          0          0          0          0          0          0          0          0          0          0 
     850.0       0.67      90.01       10.5        134       1148       1329        770        0.0          0          0          0          0          0          0          0          0          0          0 
     855.0       0.62      97.08       10.5        134       1209       1329        770        0.0          0          0          0          0          0          0          0          0          0          0 
     860.0       0.56     106.23        8.4        118        803       1258        745        0.0          0          0          0          0          0          0          0          0          0          0 
     865.0       1.26      47.63       10.0         73         83       1088        674        0.0          0          0          0          0          0          0          0          0          0          0 
     870.0       1.76      34.14       11.1         73        323       1086        674        0.0          0          0          0          0          0          0          0          0          0          0 
     875.0       1.57      38.27       10.7         73        485       1076        674        0.0          0          0          0          0          0          0          0          0          0          0 
     880.0       1.24      48.58       10.1         77        425       1096        679        0.0          0          0          0          0          0          0          0          0          0          0 
     885.0       0.49     121.78       10.4        133       1140       1332        771        0.0          0          0          0          0          0          0          0          0          0          0 
     890.0       0.53     113.53        9.9        134       1171       1326        771        0.0          0          0          0          0          0          0          0          0          0          0 
     895.0       0.50     120.75        8.7        134       1154       1323        771        0.0         19          0          0          0          0          0          0          0          0          0 
     900.0       0.54     110.18        8.7        134       1251       1308        771        0.0         35          0          0          0          0          0          0          0          0          0 
     905.0       0.43     140.14        5.4        134        900       1288        771        0.0         60          0          0          0          0          0          0          0          0          0 
     910.0       0.44     135.06        9.8        134       1259       1307        771        0.0         67          0          0          0          0          0          0          0          0          0 
     915.0       0.48     124.01        9.6        134       1332       1315        771        0.0         67          0          0          0          0          0          0          0          0          0 
     920.0       0.45     134.03       10.2        134       1310       1325        771        0.0         68          0          0          0          0          0          0          0          0          0 
     925.0       0.59     101.13       11.0        134       1440       1325        771        0.0         82          0          0          0          0          0          0          0          0          0 
     930.0       0.44     135.21        8.4        134       1007       1319        771        0.5        130          0          0          0          0          0          0          0          0          0 
     935.0       0.66      91.19       10.0        134       1222       1343        771        0.8        147          0          0          0          0          0          0          0          0          0 
     940.0       0.52     115.35        8.1        134       1137       1346        771        0.7        104          0          0          0          0          0          0          0          0          0 
     945.0       0.92      65.43        9.0         84        385       1120        689        0.7        107          0          0          0          0          0          0          0          0          0 
     950.0       2.72      22.04       11.5         73        235       1080        672        0.6        102          0          0          0          0          0          0          0          0          0 
     955.0       0.67      89.92       11.2         76        484       1172        701        1.1        187          0          0          0          0          0          0          0          0          0 
     960.0       0.60     100.35       10.5         76        326       1178        701        1.3        224          0          0          0          0          0          0          0          0          0 
     965.0       0.91      65.58       12.3         76        454       1185        701        1.2        213          0          0          0          0          0          0          0          0          0 
