 Bit Depth   ROP m/hr        ROP        WOB        RPM     TORQUE        SPP    FLWpmps T GAS main   C1  main   C2  main   C3  main   iC4 main   nC4 main   iC5 main   nC5 main 
        ft      ft/hr       mn/f       klbs        rpm      lb*ft        psi        gpm   Units_20        ppm        ppm        ppm        ppm        ppm        ppm        ppm 
      98.0     103.77       0.58        1.0         21         76        197        297          0          0          0          0          0          0          0          0 
     100.0      99.81       0.60        1.0         21        457        211        297          0          0          0          0          0          0          0          0 
     105.0      76.78       0.78        2.2         30        523        325        408          0          0          0          0          0          0          0          0 
     110.0      77.67       0.77        2.7         30        890        312        412          0          0          0          0          0          0          0          0 
     115.0      77.15       0.78        3.1         31       1083        311        412          0          0          0          0          0          0          0          0 
     120.0      78.89       0.76        2.4         32       1462        327        412          0          0          0          0          0          0          0          0 
     125.0      76.97       0.78        2.8         26       1470        309        411          0          0          0          0          0          0          0          0 
     130.0      35.82       1.67        1.7         25       1286        321        405        0.0          0          0          0          0          0          0          0 
     135.0      77.43       0.77        2.1         31       1361        340        420        0.0          0          0          0          0          0          0          0 
     140.0      77.11       0.78        3.0         31       1969        333        420        0.0          0          0          0          0          0          0          0 
     145.0      43.38       1.38        3.7         26       1979        403        463        0.0          0          0          0          0          0          0          0 
     150.0      73.35       0.82        2.5         27       1018        387        466        0.0          0          0          0          0          0          0          0 
     155.0      74.82       0.80        3.3         27       1621        389        466        0.0          0          0          0          0          0          0          0 
     160.0      58.90       1.02        3.0         42       1459        394        468        0.0          0          0          0          0          0          0          0 
     165.0     103.77       0.58        2.6         77       1088        462        515        0.0          0          0          0          0          0          0          0 
     170.0     102.23       0.59        2.8         81        942        483        515        0.0          0          0          0          0          0          0          0 
     175.0     104.52       0.57        2.8         81        966        575        585        0.0          0          0          0          0          0          0          0 
     180.0     102.24       0.59        4.5         81       1621        643        624        0.0          0          0          0          0          0          0          0 
     185.0     105.71       0.57        3.6         81       1072        632        624        0.0          0          0          0          0          0          0          0 
     190.0      85.13       0.70        2.3         81        950        678        632        0.0          0          0          0          0          0          0          0 
     195.0      65.70       0.91        2.4         81       1056        751        666        0.0          0          0          0          0          0          0          0 
