 Bit Depth        ROP   ROP m/hr        WOB        RPM     TORQUE        SPP    FLWpmps T GAS main   C1  main   C2  main   C3  main   iC4 main   nC4 main   iC5 main   nC5 main        CO2   H2S Atmo   H2S Unit 
        ft       mn/f      ft/hr       klbs        rpm      lb*ft        psi        gpm   Units_20        ppm        ppm        ppm        ppm        ppm        ppm        ppm          %        ppm        ppm 
     390.0       0.49     121.75        0.7         70       1656        545        519        0.0          0          0          0          0          0          0          0       0.02          0          0 
     395.0       0.50     120.66        1.8         69       2543        566        540        0.0          0          0          0          0          0          0          0       0.02          0          0 
     400.0       0.65      92.02        4.6         61       2954        608        564        0.0          0          0          0          0          0          0          0       0.02          0          0 
     405.0       0.53     113.86        2.6         57       2259        603        555        0.0          0          0          0          0          0          0          0       0.02          0          0 
     410.0       0.50     120.51        1.8         54       2239        601        536        0.0          0          0          0          0          0          0          0       0.02          0          0 
     415.0       0.50     119.72        1.1         57       2366        600        536        0.0          0          0          0          0          0          0          0       0.02          0          0 
     420.0       0.51     117.48        2.4         60       2872        622        547        0.0          0          0          0          0          0          0          0       0.02          0          0 
     425.0       0.49     121.65        1.2         60       2349        663        569        0.0          0          0          0          0          0          0          0       0.02          0          0 
     430.0       0.50     120.46        0.5         60       2407        650        553        0.0          0          0          0          0          0          0          0       0.02          0          0 
     435.0       0.52     115.55        0.6         56       2531        605        547        0.0          0          0          0          0          0          0          0       0.02          0          0 
     440.0       0.49     121.27        1.8         50       2682        433        540        0.0          0          0          0          0          0          0          0       0.02          0          0 
     445.0       0.50     120.68        1.1         50       2197        467        540        0.0          0          0          0          0          0          0          0       0.02          0          0 
     450.0       0.58     104.22        1.5         50       2333        499        540        0.0          0          0          0          0          0          0          0       0.02          0          0 
     455.0       1.02      58.97        6.6         50       2509        427        540        0.0          0          0          0          0          0          0          0       0.02          0          0 
     460.0       0.68      87.79        6.4         50       2787        437        540        0.0          0          0          0          0          0          0          0       0.02          0          0 
     465.0       0.85      70.60        5.6         50       2809        425        541        0.0          0          0          0          0          0          0          0       0.02          0          0 
     470.0       0.62      96.80        4.3         50       3221        399        542        0.0          0          0          0          0          0          0          0       0.02          0          0 
     475.0       0.60     100.74        4.7         50       2505        397        542        0.0          0          0          0          0          0          0          0       0.02          0          0 
     480.0       0.61      97.85        4.5         50       2011        397        542        0.0          0          0          0          0          0          0          0       0.02          0          0 
     485.0       0.61      99.12        4.5         50       1610        408        542        0.0          0          0          0          0          0          0          0       0.02          0          0 
     490.0       0.65      92.13        3.8         50       1339        418        542        0.0          0          0          0          0          0          0          0       0.02          0          0 
     495.0       0.62      97.34        2.4         53       1467        453        506        0.0          0          0          0          0          0          0          0       0.02          0          0 
     500.0       0.61      97.84        1.7         61       1703        476        481        0.0          0          0          0          0          0          0          0       0.02          0          0 
     505.0       0.69      87.29        2.2         71       2038        486        481        0.0          0          0          0          0          0          0          0       0.02          0          0 
     510.0       0.75      80.47        1.7         76       2015        470        481        0.0          0          0          0          0          0          0          0       0.02          0          0 
     515.0       1.22      49.00        2.1         80       1523        461        481        0.0          0          0          0          0          0          0          0       0.02          0          0 
     520.0       0.63      95.16        1.3         83       1004        450        481        0.0          0          0          0          0          0          0          0       0.02          0          0 
     525.0       0.62      96.10        2.0         80        820        436        481        0.0          0          0          0          0          0          0          0       0.02          0          0 
     530.0       0.60      99.26        0.8         82        601        423        482        0.0          0          0          0          0          0          0          0       0.02          0          0 
     535.0       0.59     101.87        1.0        100        622        416        482        0.0          0          0          0          0          0          0          0       0.02          0          0 
     540.0       1.47      40.95        4.9         91       1291        418        482        0.0          0          0          0          0          0          0          0       0.02          0          0 
     545.0       0.59     102.24        1.0        100       1072        424        482        0.0          0          0          0          0          0          0          0       0.02          0          0 
     550.0       0.59     101.64        1.1        100       1018        420        482        0.0          0          0          0          0          0          0          0       0.02          0          0 
     555.0       0.74      81.11        1.2         84        857        485        508        0.0          0          0          0          0          0          0          0       0.02          0          0 
     560.0       1.35      44.36        3.6         84        788        586        553        0.0          0          0          0          0          0          0          0       0.02          0          0 
     565.0       0.50     120.56        0.5        100        740        646        594        0.0          0          0          0          0          0          0          0       0.02          0          0 
     570.0       0.50     119.66        2.0        100        839        644        599        0.0          0          0          0          0          0          0          0       0.02          0          0 
     575.0       0.49     122.49        2.8        100       1090        650        599        0.0          0          0          0          0          0          0          0       0.02          0          0 
     580.0       0.49     123.04        2.5        100       1141        652        599        0.0          0          0          0          0          0          0          0       0.02          0          0 
     585.0       0.57     104.82        2.2         96       1111        655        599        0.0          0          0          0          0          0          0          0       0.02          0          0 
     590.0       0.53     113.93        1.0         99       1031        652        597        0.0          0          0          0          0          0          0          0       0.02          0          0 
     595.0       0.49     122.18        1.0        100        911        661        600        0.0          0          0          0          0          0          0          0       0.02          0          0 
     600.0       0.49     121.31        1.0        100       1163        660        600        0.0          0          0          0          0          0          0          0       0.02          0          0 
     605.0       0.50     120.58        1.6        100       1209        664        600        0.0          0          0          0          0          0          0          0       0.02          0          0 
     610.0       0.48     124.95        2.5        100       1296        654        600        0.0          0          0          0          0          0          0          0       0.02          0          0 
     615.0       0.49     122.01        3.2        100       1384        665        600        0.0          0          0          0          0          0          0          0       0.02          0          0 
     620.0       0.54     111.33        2.2        106       1241        698        626        0.0          0          0          0          0          0          0          0       0.02          0          0 
     625.0       0.39     152.74        1.1        120       1170        729        649        0.0          0          0          0          0          0          0          0       0.02          0          0 
     630.0       0.40     149.35        1.5        120       1268        729        649        0.0          0          0          0          0          0          0          0       0.02          0          0 
     635.0       0.35     170.08        1.9        129       1594        727        649        0.0          0          0          0          0          0          0          0       0.02          0          0 
     640.0       0.32     185.12        2.1        130       1551        735        649        0.0          0          0          0          0          0          0          0       0.02          0          0 
     645.0       0.34     177.82        2.4        133       1434        755        649        0.0          0          0          0          0          0          0          0       0.02          0          0 
     650.0       0.39     155.23        1.5        130       1633        791        663        0.0          0          0          0          0          0          0          0       0.02          0          0 
     655.0       0.33     183.81        1.1        139       1811        816        675        0.0          0          0          0          0          0          0          0       0.02          0          0 
     660.0       0.34     174.98        1.0        139       1655        801        675        0.0          0          0          0          0          0          0          0       0.02          0          0 
     665.0       0.33     182.51        2.3        139       1744        790        675        0.0          0          0          0          0          0          0          0       0.02          0          0 
     670.0       0.32     186.94        2.7        139       1774        795        675        0.0          0          0          0          0          0          0          0       0.02          0          0 
     675.0       0.33     181.91        3.3        139       1677        815        675        0.0          0          0          0          0          0          0          0       0.02          0          0 
     680.0       0.40     151.10        2.0        137       1245        827        684        0.0          0          0          0          0          0          0          0       0.02          0          0 
     685.0       0.33     182.72        0.5        140       1670        834        691        0.0          0          0          0          0          0          0          0       0.02          0          0 
     690.0       0.34     177.94        1.0        140       1840        839        691        0.0          0          0          0          0          0          0          0       0.02          0          0 
     695.0       0.33     179.24        0.6        140       1666        842        691        0.0          0          0          0          0          0          0          0       0.02          0          0 
     700.0       0.32     187.49        0.9        140       1543        851        691        0.0          0          0          0          0          0          0          0       0.02          0          0 
     705.0       0.33     183.61        0.5        140       1490        842        691        0.0          0          0          0          0          0          0          0       0.02          0          0 
     710.0       0.49     121.66        1.2        131       1319        833        693        0.0          0          0          0          0          0          0          0       0.02          0          0 
     715.0       0.34     178.89        2.2        139       1977        841        695        0.0          0          0          0          0          0          0          0       0.02          0          0 
     720.0       0.33     184.48        2.9        139       1800        846        695        0.0          0          0          0          0          0          0          0       0.02          0          0 
     725.0       0.34     175.15        3.0        139       1893        851        695        0.0          0          0          0          0          0          0          0       0.02          0          0 
     730.0       0.56     108.06        5.7        139       2255        862        695        0.0          0          0          0          0          0          0          0       0.02          0          0 
     735.0       1.08      55.53        8.3        101       2241        870        695        0.0          0          0          0          0          0          0          0       0.02          0          0 
     740.0       0.55     109.05        2.3        112       1612        879        696        0.0          0          0          0          0          0          0          0       0.02          0          0 
     745.0       0.37     160.33        2.4        139       2008        880        697        0.0          0          0          0          0          0          0          0       0.02          0          0 
     750.0       0.34     175.63        2.1        139       2003        888        697        0.0          0          0          0          0          0          0          0       0.02          0          0 
     755.0       0.34     176.63        2.4        139       1990        892        697        0.0          0          0          0          0          0          0          0       0.02          0          0 
     760.0       0.34     173.96        1.9        139       1959        895        697        0.0          0          0          0          0          0          0          0       0.02          0          0 
     765.0       0.33     182.27        2.2        139       2047        911        697        0.0          0          0          0          0          0          0          0       0.02          0          0 
     770.0       0.33     182.30        2.5        139       1695        915        697        0.0          0          0          0          0          0          0          0       0.02          0          0 
     775.0       0.34     177.20        2.4        139       1733        925        697        0.0          0          0          0          0          0          0          0       0.02          0          0 
     780.0       0.33     180.20        2.2        139       1713        907        697        0.0          0          0          0          0          0          0          0       0.02          0          0 
     785.0       0.34     177.11        2.3        139       1839        898        697        0.0          0          0          0          0          0          0          0       0.02          0          0 
     790.0       0.34     178.58        3.3        139       1727        902        697        0.0          0          0          0          0          0          0          0       0.02          0          0 
     795.0       0.33     181.30        2.6        139       1891        899        697        0.0          0          0          0          0          0          0          0       0.02          0          0 
     800.0       0.32     186.53        1.0        139       1710        889        697        0.0          0          0          0          0          0          0          0       0.02          0          0 
     805.0       0.33     181.70        1.1        139       1884        887        697        0.0          0          0          0          0          0          0          0       0.02          0          0 
     810.0       1.31      45.92        5.7        106       1779        890        697        0.0          0          0          0          0          0          0          0       0.02          0          0 
     815.0       1.03      58.37        6.7         92       1966        897        697        0.0          0          0          0          0          0          0          0       0.02          0          0 
