  MeasDpth Clmn3 Lt N  %Cutt  #1   Code  #1  %Cutt  #2   Code  #2  %Cutt  #3   Code  #3  %Cutt  #4   Code  #4  %Cutt  #5   Code  #5 Tn ClmCo 1 Tn ClmCo 2 Tn ClmCo 3 
        ft        Nb.          %       Code          %       Code          %       Code          %       Code          %       Code       Code       Code       Code 
    139.37        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    140.68        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    141.99        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    143.31        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    144.62        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    145.93        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    147.24        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    148.56        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    149.87        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    150.00          0      80.00        326          0          0      20.00        405          0          0          0          0          0          0          0 
    150.20        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    151.51        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    152.82        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    154.13        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    155.45        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    156.76        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    158.07        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    159.38        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    160.70        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    162.01        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    163.32        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    164.63        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    165.94        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    167.26        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    168.57        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    169.88        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    171.19        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    172.51        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    173.82        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    174.90        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    175.13        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    176.44        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    177.76        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    179.07        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    180.38        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    181.69        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    183.01        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    184.32        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    185.63        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    186.94        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
