 Bit Depth   ROP m/hr        ROP        WOB        RPM     TORQUE        SPP    FLWpmps T GAS main   C1  main   C2  main   C3  main   iC4 main   nC4 main   iC5 main   nC5 main 
        ft      ft/hr       mn/f       klbs        rpm      lb*ft        psi        gpm   Units_20        ppm        ppm        ppm        ppm        ppm        ppm        ppm 
     440.0      94.82       0.63        1.9         69       3908        736        558        0.0          0          0          0          0          0          0          0 
     445.0     101.85       0.59        1.7         70       3939        723        546        0.0          0          0          0          0          0          0          0 
     450.0     102.96       0.58        1.0         70       3363        717        546        0.0          0          0          0          0          0          0          0 
     455.0     101.85       0.59        0.8         70       3018        722        546        0.0          0          0          0          0          0          0          0 
     460.0     106.63       0.56        1.4         70       2950        722        546        0.0          0          0          0          0          0          0          0 
     465.0      64.30       0.93        4.3         70       2889        731        546        0.0          0          0          0          0          0          0          0 
     470.0      81.56       0.74        3.3         70       2920        736        546        0.0          0          0          0          0          0          0          0 
     475.0     104.95       0.57        1.9         71       2443        740        546        0.0          0          0          0          0          0          0          0 
     480.0     102.21       0.59        1.8         71       2622        753        546        0.0          0          0          0          0          0          0          0 
     485.0     104.13       0.58        2.1         71       2192        753        546        0.0          0          0          0          0          0          0          0 
     490.0     106.22       0.56        2.2         71       2748        753        546        0.0          0          0          0          0          0          0          0 
     495.0      98.19       0.61        3.8         71       2639        754        546        0.0          0          0          0          0          0          0          0 
     500.0      92.61       0.65        3.8         70       3095        776        546        0.0          0          0          0          0          0          0          0 
     505.0      90.44       0.66        3.3         70       2820        784        546        0.0          0          0          0          0          0          0          0 
     510.0      99.61       0.60        3.4         79       3870        781        546        0.0          0          0          0          0          0          0          0 
     515.0      98.88       0.61        3.5         80       3803        782        546        0.0          0          0          0          0          0          0          0 
     520.0      91.61       0.65        4.0         80       3566        788        546        0.0          0          0          0          0          0          0          0 
     525.0      93.17       0.64        3.6         80       3116        789        546        0.0          0          0          0          0          0          0          0 
     530.0      80.48       0.75        3.0         80       3109        802        546        0.0          0          0          0          0          0          0          0 
     535.0      46.49       1.29        4.6         80       3647        811        546        0.0          0          0          0          0          0          0          0 
     540.0      84.28       0.71        3.9         88       3581        816        547        0.0          0          0          0          0          0          0          0 
     545.0     102.99       0.58        2.7        100       3762        832        551        0.0          0          0          0          0          0          0          0 
     550.0     102.48       0.59        4.0        100       4781        820        551        0.0          0          0          0          0          0          0          0 
     555.0      65.49       0.92        4.4        100       3945        826        551        0.0          0          0          0          0          0          0          0 
     560.0      59.22       1.01        2.3        100       3623        729        505        0.0          0          0          0          0          0          0          0 
     565.0      50.75       1.18        2.5        100       4025        692        486        0.0          0          0          0          0          0          0          0 
     570.0      50.95       1.18        2.1        100       3985        692        486        0.0          0          0          0          0          0          0          0 
     575.0      33.10       1.81        3.9        100       3741        693        486        0.0          0          0          0          0          0          0          0 
     580.0      51.90       1.16        1.5         99       3531        689        486        0.0          0          0          0          0          0          0          0 
     585.0      52.15       1.15        2.1        100       3656        684        486        0.0          0          0          0          0          0          0          0 
     590.0      43.36       1.38        1.9        100       4201        695        486        0.0          0          0          0          0          0          0          0 
     595.0      50.57       1.19        1.3        100       4821        717        486        0.0          0          0          0          0          0          0          0 
     600.0      50.85       1.18        0.9        100       4247        721        486        0.0          0          0          0          0          0          0          0 
     605.0      50.57       1.19        0.3        101       3825        720        486        0.0          0          0          0          0          0          0          0 
     610.0      50.95       1.18        1.3        100       3468        723        486        0.0          0          0          0          0          0          0          0 
     615.0      53.26       1.13        3.2        100       3746        725        486        0.0          0          0          0          0          0          0          0 
     620.0      54.36       1.10        3.4        100       3797        749        492        0.0          0          0          0          0          0          0          0 
     625.0     102.70       0.58        3.0        100       3829       1021        557        0.0          0          0          0          0          0          0          0 
     630.0     103.70       0.58        2.6        100       3759       1022        557        0.0          0          0          0          0          0          0          0 
     635.0     103.75       0.58        2.7         99       3106       1014        557        0.0          0          0          0          0          0          0          0 
     640.0     102.23       0.59        3.1         99       2713        982        558        0.0          0          0          0          0          0          0          0 
     645.0     105.95       0.57        1.7         99       1725        993        558        0.0          0          0          0          0          0          0          0 
     650.0      94.33       0.64        2.1        101       1741       1022        567        0.0          0          0          0          0          0          0          0 
     655.0     104.93       0.57        1.6        109       2346       1114        604        0.0          0          0          0          0          0          0          0 
     660.0     102.58       0.58        0.4        109       2061       1112        605        0.0          0          0          0          0          0          0          0 
     665.0     104.18       0.58        1.2        109       2203       1112        605        0.0          0          0          0          0          0          0          0 
     670.0     102.21       0.59        1.0        109       1862       1119        605        0.0          0          0          0          0          0          0          0 
     675.0     108.42       0.55        3.7        109       1755       1117        605        0.0          0          0          0          0          0          0          0 
     680.0      50.95       1.18        1.3        100       3468        723        486        0.0          0          0          0          0          0          0          0 
     685.0      54.36       1.10        3.4        100       3797        749        492        0.0          0          0          0          0          0          0          0 
     690.0     102.70       0.58        3.0        100       3829       1021        557        0.0          0          0          0          0          0          0          0 
     695.0     103.70       0.58        2.6        100       3759       1022        557        0.0          0          0          0          0          0          0          0 
     700.0     102.23       0.59        3.1         99       2713        982        558        0.0          0          0          0          0          0          0          0 
     705.0     113.34       0.53        4.4         99       1835       1263        646        0.0          0          0          0          0          0          0          0 
     710.0     108.69       0.55        3.2        119       1707       1300        706        0.0          0          0          0          0          0          0          0 
     715.0     113.28       0.53        2.9        119       2101       1249        706        0.0          0          0          0          0          0          0          0 
     720.0     123.42       0.49        4.2        119       2169       1263        706        0.0          0          0          0          0          0          0          0 
     725.0     125.46       0.48        3.4        119       1822       1269        706        0.0          0          0          0          0          0          0          0 
     730.0     122.53       0.49        3.4        119       1982       1272        706        0.0          0          0          0          0          0          0          0 
     735.0     126.65       0.47        3.3        119       1948       1275        706        0.0          0          0          0          0          0          0          0 
     740.0     127.65       0.47        3.9        119       1862       1277        706        0.0          0          0          0          0          0          0          0 
     745.0      80.30       0.75        4.3        119       1877       1239        706        0.0          0          0          0          0          0          0          0 
     750.0     119.27       0.50        2.2        106       2180       1458        753        0.0          0          0          0          0          0          0          0 
     750.0     119.27       0.50        2.2        106       2180       1458        753        0.0          0          0          0          0          0          0          0 
     750.0     119.27       0.50        2.2        106       2180       1458        753        0.0          0          0          0          0          0          0          0 
     765.0     150.66       0.40        1.4        119       1899       1508        762        0.0          0          0          0          0          0          0          0 
     770.0     148.97       0.40        3.1        120       2119       1512        763        0.0          0          0          0          0          0          0          0 
     775.0     119.27       0.50        2.2        106       2180       1458        753        0.0          0          0          0          0          0          0          0 
     780.0     128.14       0.47        0.5        119       2712       1423        744        0.0          0          0          0          0          0          0          0 
     785.0     144.05       0.42        0.8        120       2570       1423        744        0.0          0          0          0          0          0          0          0 
     790.0     149.51       0.40        1.8        119       2886       1433        744        0.0          0          0          0          0          0          0          0 
     795.0     158.61       0.38        1.7        119       2426       1450        744        0.0          0          0          0          0          0          0          0 
     800.0     114.82       0.52        4.7        119       3425       1458        744        0.0          0          0          0          0          0          0          0 
     805.0     131.30       0.46        2.0        115       2406       1464        744        0.0          0          0          0          0          0          0          0 
     810.0     150.75       0.40        0.5        120       2915       1500        744        0.0          0          0          0          0          0          0          0 
     815.0      18.58       3.23        5.2         83       3419       1457        744        0.0          0          0          0          0          0          0          0 
     820.0     127.67       0.47        0.1        120       2390       1492        744        0.0          0          0          0          0          0          0          0 
     825.0      44.06       1.36        7.1         82       3913       1520        744        0.0          0          0          0          0          0          0          0 
     830.0     159.28       0.38        1.1        120       2590       1540        744        0.0          0          0          0          0          0          0          0 
     835.0     141.87       0.42        1.5        118       2670       1536        744          0          0          0          0          0          0          0          0 
     840.0     152.88       0.39        0.5        119       2810       1583        744        0.0          0          0          0          0          0          0          0 
     845.0     155.50       0.39        0.9        120       2094       1544        744        0.0          0          0          0          0          0          0          0 
     850.0     154.16       0.39        1.2        119       2267       1559        744        0.0          0          0          0          0          0          0          0 
     855.0     154.35       0.39        1.4        120       2107       1560        744        0.0          0          0          0          0          0          0          0 
     860.0     157.30       0.38        1.3        119       2445       1593        744        0.0          0          0          0          0          0          0          0 
     865.0     131.97       0.45        2.3        115       2241       1595        744        0.0          0          0          0          0          0          0          0 
     870.0     153.43       0.39        1.6        120       4350       1624        744        0.0          0          0          0          0          0          0          0 
     875.0     152.87       0.39        1.3        120       2547       1625        744        0.0          0          0          0          0          0          0          0 
     880.0     155.68       0.39        0.9        120       2619       1614        744        0.0          0          0          0          0          0          0          0 
     885.0     152.86       0.39        1.1        120       2272       1638        744        0.0          0          0          0          0          0          0          0 
     890.0     158.67       0.38        1.1        120       2364       1635        744        0.0          0          0          0          0          0          0          0 
     895.0     152.87       0.39        1.3        120       2547       1625        744        0.0          0          0          0          0          0          0          0 
     900.0     144.26       0.42        1.1        119       2588       1640        744        0.0          0          0          0          0          0          0          0 
     905.0     155.87       0.38        1.0        120       2669       1642        744        0.0          0          0          0          0          0          0          0 
     910.0     152.64       0.39        2.6        119       2336       1623        744        0.0          0          0          0          0          0          0          0 
     915.0     153.09       0.39        3.7        120       2544       1612        743        0.0          0          0          0          0          0          0          0 
     920.0     134.12       0.45        4.1        119       2526       1620        744        0.0          0          0          0          0          0          0          0 
     925.0     158.34       0.38        3.3        119       2144       1623        744        0.0          0          0          0          0          0          0          0 
     930.0     145.97       0.41        4.7        124       2534       1630        743        0.0         15          0          0          0          0          0          0 
