  MeasDpth Clmn3 Lt N  %Cutt  #1   Code  #1  %Cutt  #2   Code  #2  %Cutt  #3   Code  #3  %Cutt  #4   Code  #4  %Cutt  #5   Code  #5 Tn ClmCo 1 Tn ClmCo 2 Tn ClmCo 3 
        ft        Nb.          %       Code          %       Code          %       Code          %       Code          %       Code       Code       Code       Code 
    212.96        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    213.12        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    214.44        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    215.75        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    216.90        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    217.95        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    218.37        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    219.69        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    221.00        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    221.88        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    222.31        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    223.62        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    224.93        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    225.82        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    226.25        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    227.56        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    228.87        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    229.76        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    230.18        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    231.50        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    232.81        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    233.96        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    234.12        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    235.43        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    236.75        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    237.89        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    238.94        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    239.37        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    240.68        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    241.99        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    242.88        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    243.90        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    244.62        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    245.93        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    246.52        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    247.83        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    248.56        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    250.00        405      90.00        326          0          0          0          0          0          0      10.00        405          0          0          0 
    250.46        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    251.77        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    252.62        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    253.94        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    254.95        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    255.71        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    256.56        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    257.87        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    258.89        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    259.65        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    260.96        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    261.81        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    262.99        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    263.58        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    264.90        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    265.75        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    266.93        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    267.52        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
