  MeasDpth Clmn3 Lt N  %Cutt  #1   Code  #1  %Cutt  #2   Code  #2  %Cutt  #3   Code  #3  %Cutt  #4   Code  #4  %Cutt  #5   Code  #5 Tn ClmCo 1 Tn ClmCo 2 Tn ClmCo 3 
        ft        Nb.          %       Code          %       Code          %       Code          %       Code          %       Code       Code       Code       Code 
    196.33        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    197.44        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    197.64        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    198.75        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    198.95        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    200.00        406      70.00        326          0          0      30.00        406          0          0          0          0          0          0          0 
    200.07        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    200.26        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    200.39        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    201.57        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    201.71        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    202.89        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    203.02        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    204.20        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    204.33        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    204.99        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    205.64        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    206.96        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    208.27        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    209.58        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    210.89        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    212.20        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    213.52        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    214.83        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    216.14        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    217.45        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    218.77        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    220.08        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    221.39        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    222.70        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    224.02        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    225.33        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    226.64        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    227.95        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    229.27        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    230.58        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    231.89        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    233.20        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    234.51        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    235.83        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    237.14        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    238.45        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    239.76        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    240.19        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    241.08        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    241.50        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    242.39        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    242.82        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    243.70        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    244.13        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    245.01        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    246.33        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    247.64        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    248.95        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    250.00        326      80.00        326          0          0      20.00        406          0          0          0          0          0          0          0 
    251.31        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    252.62        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    253.94        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    255.25        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    256.56        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    257.87        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    259.19        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    260.50        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    261.81        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    263.12        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    264.44        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    265.75        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    267.06        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    268.37        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    269.69        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    271.00        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    272.31        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    273.62        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    274.93        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    276.25        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    277.56        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    278.87        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    280.18        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    281.50        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    282.41        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    282.81        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    283.73        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    284.12        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    285.04        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    285.43        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    286.35        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    286.75        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    287.66        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    288.06        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    288.91        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    289.37        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    290.68        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    291.99        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    293.31        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    294.62        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    295.93        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    297.24        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    298.56        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    299.87        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    300.00          0       5.00        326          0          0      95.00        406          0          0          0          0          0          0          0 
    300.10        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    301.41        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    302.72        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    304.04        406          0          0          0          0          0          0          0          0          0          0          0          0          5 
    305.35        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    306.66        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    307.97        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    309.28        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    310.60        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    311.91        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    313.22        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    314.53        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    315.85        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
