 Bit Depth   ROP ft/hr       ROP        WOB        RPM     TORQUE        SPP    FLWpmps T GAS main   C1  main   C2  main   C3  main   iC4 main   nC4 main   iC5 main   nC5 main 
        ft      ft/hr       mn/f       klbs        rpm      lb*ft        psi        gpm   Units_20        ppm        ppm        ppm        ppm        ppm        ppm        ppm 
     450.0     154.57       0.39        6.4         69       3957        948        671          0          0          0          0          0          0          0          0 
     455.0     152.90       0.39        5.9         69       3747        943        671          0          0          0          0          0          0          0          0 
     460.0     156.53       0.38        4.5         79       3349        934        671          0          0          0          0          0          0          0          0 
     465.0     142.70       0.42        3.8         87       3343        936        671          0          0          0          0          0          0          0          0 
     470.0     154.38       0.39        2.6         76       3279        956        671          0          0          0          0          0          0          0          0 
     475.0     153.28       0.39        3.4         83       3914        942        671          0          0          0          0          0          0          0          0 
     480.0     153.83       0.39        3.6         85       3238        938        671          0          0          0          0          0          0          0          0 
     485.0     154.02       0.39        2.7         88       2756        944        671          0          0          0          0          0          0          0          0 
     490.0     154.53       0.39        2.5         90       3013        935        671          0          0          0          0          0          0          0          0 
     495.0     157.75       0.38        3.5         89       3609        936        671          0          0          0          0          0          0          0          0 
     500.0     147.13       0.41        1.6         82       3406        953        671          0          0          0          0          0          0          0          0 
     505.0     150.53       0.40        3.1         85       3584        961        671          0          0          0          0          0          0          0          0 
     510.0     155.68       0.39        3.1         92       3426        964        671          0          0          0          0          0          0          0          0 
     515.0     155.90       0.38        2.0         94       3198        962        671          0          0          0          0          0          0          0          0 
     520.0     154.03       0.39        2.0         98       3029        959        671          0          0          0          0          0          0          0          0 
     525.0     156.14       0.38        1.8         98       3057        963        671          0          0          0          0          0          0          0          0 
     530.0     151.20       0.40        1.5         92       2094        973        671          0          0          0          0          0          0          0          0 
     535.0     149.40       0.40        1.0         98       3932        997        671          0          0          0          0          0          0          0          0 
     540.0     154.52       0.39        2.0         99       3490        995        671          0          0          0          0          0          0          0          0 
     545.0      53.09       1.13        5.3         76       3691       1027        687          0          0          0          0          0          0          0          0 
     550.0     156.01       0.38        2.0         99       2837       1055        696          0          0          0          0          0          0          0          0 
     555.0      37.05       1.62        7.0         69       3801       1056        697          0          0          0          0          0          0          0          0 
     560.0     109.29       0.55        3.1        100       3148       1084        704          0          0          0          0          0          0          0          0 
     565.0     175.17       0.34        3.0        104       2161       1172        723          0          0          0          0          0          0          0          0 
     570.0     172.87       0.35        3.2        105       2081       1158        723          0          0          0          0          0          0          0          0 
     575.0     175.16       0.34        3.0        104       2339       1162        723          0          0          0          0          0          0          0          0 
     580.0     173.43       0.35        3.5        106       2002       1162        723          0          0          0          0          0          0          0          0 
     585.0     181.12       0.33        3.0        109       2243       1159        723          0          0          0          0          0          0          0          0 
     590.0     140.54       0.43        2.8        111       2312       1159        723          0          0          0          0          0          0          0          0 
     595.0     171.89       0.35        3.0        113       2489       1185        723          0          0          0          0          0          0          0          0 
     600.0     173.12       0.35        3.1        113       4409       1180        723          0          0          0          0          0          0          0          0 
     605.0     171.75       0.35        3.0        113       2767       1176        723          0          0          0          0          0          0          0          0 
     610.0     175.35       0.34        3.2        114       2735       1180        723          0          0          0          0          0          0          0          0 
     615.0     175.92       0.34        3.2        113       1896       1184        723          0          0          0          0          0          0          0          0 
     620.0     161.81       0.37        3.1        113       2055       1179        723          0          0          0          0          0          0          0          0 
     625.0     175.16       0.34        2.9        114       2352       1209        723          0          0          0          0          0          0          0          0 
     630.0     173.26       0.35        2.8        114       2119       1217        723          0          0          0          0          0          0          0          0 
     635.0     157.04       0.38        2.7        114       2770       1216        723          0          0          0          0          0          0          0          0 
     640.0     177.91       0.34        2.8        114       2582       1223        723          0          0          0          0          0          0          0          0 
     645.0     176.62       0.34        3.0        114       2348       1212        723          0          0          0          0          0          0          0          0 
     650.0     171.58       0.35        3.2        114       2640       1208        723          0          0          0          0          0          0          0          0 
     655.0     175.61       0.34        2.5        115       2850       1239        723          0          0          0          0          0          0          0          0 
     660.0     171.88       0.35        2.5        115       2746       1250        723          0          0          0          0          0          0          0          0 
     665.0     177.92       0.34        2.6        115       2585       1238        723          0          0          0          0          0          0          0          0 
     670.0     173.03       0.35        2.4        115       3818       1245        723          0          0          0          0          0          0          0          0 
     675.0     175.92       0.34        2.1        115       3595       1241        723          0          0          0          0          0          0          0          0 
     680.0     178.49       0.34        2.0        115       3236       1244        723          0          0          0          0          0          0          0          0 
     685.0     164.64       0.36        1.8        114       2498       1266        723          0          0          0          0          0          0          0          0 
     690.0     171.65       0.35        2.0        114       2255       1261        723          0          0          0          0          0          0          0          0 
     695.0     177.91       0.34        2.3        113       2689       1259        723          0          0          0          0          0          0          0          0 
     700.0     173.29       0.35        2.3        113       2497       1251        723          0          0          0          0          0          0          0          0 
     705.0     170.50       0.35        2.8        113       2656       1247        723          0          0          0          0          0          0          0          0 
     710.0     183.85       0.33        1.7        113       2188       1235        723          0          0          0          0          0          0          0          0 
     715.0     158.17       0.38        2.4        113       2552       1237        723          0          0          0          0          0          0          0          0 
     720.0     176.84       0.34        1.9        112       2692       1239        723          0          0          0          0          0          0          0          0 
     725.0     169.95       0.35        2.3        112       2602       1240        723          0          0          0          0          0          0          0          0 
     730.0     174.70       0.34        1.9        112       2447       1236        723          0          0          0          0          0          0          0          0 
     735.0     180.13       0.33        4.3        112       3037       1220        723          0          0          0          0          0          0          0          0 
     740.0     171.12       0.35        2.0        113       2147       1220        723          0          0          0          0          0          0          0          0 
     745.0     165.95       0.36        3.1        114       2175       1221        723          0          0          0          0          0          0          0          0 
     750.0     139.67       0.43        5.2        118       3026       1241        723          0          0          0          0          0          0          0          0 
     755.0     172.01       0.35        4.1        118       2704       1237        723          0          0          0          0          0          0          0          0 
     760.0     177.92       0.34        3.7        118       2558       1241        723          0          0          0          0          0          0          0          0 
     765.0     175.17       0.34        3.9        118       2547       1236        723          0          0          0          0          0          0          0          0 
     770.0     175.30       0.34        4.0        118       2175       1235        723          0          0          0          0          0          0          0          0 
     775.0     152.57       0.39        3.8        118       2096       1217        723          0          0          0          0          0          0          0          0 
     780.0     178.37       0.34        3.1        119       3107       1266        723          0          0          0          0          0          0          0          0 
     785.0     172.00       0.35        3.8        119       2599       1265        723          0          0          0          0          0          0          0          0 
     790.0     170.64       0.35        3.3        120       2571       1268        723          0          0          0          0          0          0          0          0 
     795.0     175.17       0.34        1.8        119       2084       1269        723          0          0          0          0          0          0          0          0 
     800.0     176.51       0.34        2.1        119       2067       1249        723          0          0          0          0          0          0          0          0 
     805.0     176.78       0.34        2.6        120       2527       1242        723          0          0          0          0          0          0          0          0 
     810.0     175.24       0.34        1.4        119       2427       1280        723          0          0          0          0          0          0          0          0 
     815.0     193.55       0.31        1.8        119       2800       1293        723          0          0          0          0          0          0          0          0 
     820.0     197.78       0.30        1.5        119       2541       1294        723          0          0          0          0          0          0          0          0 
     825.0     194.74       0.31        2.6        119       2616       1318        731          0          0          0          0          0          0          0          0 
     830.0     190.85       0.31        2.7        119       2448       1361        747          0          0          0          0          0          0          0          0 
     835.0     200.72       0.30        2.9        119       2397       1351        747          0          0          0          0          0          0          0          0 
     840.0     182.50       0.33        2.1        119       2081       1400        751          0          0          0          0          0          0          0          0 
     845.0     185.52       0.32        2.1        118       3099       1477        772          0          5          0          0          0          0          0          0 
     850.0     204.31       0.29        2.1        118       2469       1486        772          0          9          0          0          0          0          0          0 
     855.0     194.91       0.31        3.1        118       2707       1486        772          0         11          0          0          0          0          0          0 
     860.0     199.12       0.30        3.0        118       2564       1513        772          0         15          0          0          0          0          0          0 
     865.0     196.66       0.31        2.8        118       2468       1505        772          0         27          0          0          0          0          0          0 
     870.0     172.26       0.35        2.9        118       2455       1556        772        0.7         81          0          0          0          0          0          0 
     875.0     195.57       0.31        4.7        118       3064       1582        772        0.7         81          0          0          0          0          0          0 
     880.0     195.00       0.31        5.2        118       3027       1580        772        0.8         77          0          0          0          0          0          0 
     885.0     193.49       0.31        4.0        118       2797       1578        772        0.9         95          0          0          0          0          0          0 
     890.0     197.65       0.30        5.1        118       3016       1570        772        0.9         95          0          0          0          0          0          0 
     895.0     197.32       0.30        5.7        118       3108       1560        772        1.0         98          0          0          0          0          0          0 
     900.0     189.70       0.32        4.0        119       2813       1549        772        1.5        239          0          0          0          0          0          0 
     905.0     189.41       0.32        4.6        119       2739       1538        772        0.9        131          0          0          0          0          0          0 
     910.0     197.77       0.30        3.7        119       2809       1533        772        0.8         82          0          0          0          0          0          0 
     915.0     197.75       0.30        4.3        119       3085       1547        772        1.0        110          0          0          0          0          0          0 
     920.0     194.90       0.31        3.4        119       2744       1552        772        1.2        158          0          0          0          0          0          0 
     925.0     185.74       0.32        5.6        119       2871       1543        772        1.4        182          0          0          0          0          0          0 
     930.0     181.07       0.33        3.6        119       2550       1525        772        2.8        512          0          0          0          0          0          0 
     935.0     189.43       0.32        3.2        118       2764       1537        772        2.7        499          0          0          0          0          0          0 
     940.0     202.11       0.30        1.9        118       2140       1542        772        1.8        297          0          0          0          0          0          0 
     945.0     193.49       0.31        2.0        118       2355       1536        772        2.2        358          0          0          0          0          0          0 
     950.0     187.13       0.32        4.3        118       2936       1528        772        3.0        542          0          0          0          0          0          0 
     955.0     209.08       0.29        4.2        118       2758       1522        772        3.4        628          0          0          0          0          0          0 
     960.0     195.02       0.31        2.8        118       2210       1524        772        3.4        635          0          0          0          0          0          0 
     965.0     203.81       0.29        2.4        118       3081       1536        774        3.3        584          0          0          0          0          0          0 
     970.0     209.13       0.29        1.8        118       2495       1544        775        2.4        409          0          0          0          0          0          0 
     975.0     202.11       0.30        1.7        118       2558       1544        775        3.3        536          0          0          0          0          0          0 
     980.0     208.89       0.29        2.5        118       2865       1540        775        4.2        748          0          0          0          0          0          0 
     985.0     208.86       0.29        3.7        118       3168       1537        775        5.3       1053          0          0          0          0          0          0 
     990.0      34.83       1.72        8.1         71       3212       1533        775        5.1       1053          0          0          0          0          0          0 
     995.0     161.32       0.37        2.5        118       2864       1543        775        1.7        322          0          0          0          0          0          0 
    1000.0     208.35       0.29        2.4        118       3182       1555        775        1.5        243          0          0          0          0          0          0 
    1005.0     199.92       0.30        3.2        118       3088       1550        775        1.9        317          0          0          0          0          0          0 
    1010.0      40.61       1.48        9.4         74       3499       1501        763        3.0        556          0          0          0          0          0          0 
