 Bit Depth   ROP m/hr        ROP        WOB        RPM     TORQUE        SPP    FLWpmps T GAS main   C1  main   C2  main   C3  main   iC4 main   nC4 main   iC5 main   nC5 main 
        ft      ft/hr       mn/f       klbs        rpm      lb*ft        psi        gpm   Units_20        ppm        ppm        ppm        ppm        ppm        ppm        ppm 
     400.0     130.47       0.46        4.6         61       4006        744        621        0.0          0          0          0          0          0          0          0 
     405.0     115.02       0.52        2.9         60       3219        749        621        0.0          0          0          0          0          0          0          0 
     410.0     128.61       0.47        2.6         58       3979        766        621        0.0          0          0          0          0          0          0          0 
     415.0     126.79       0.47        2.6         50       3203        762        621        0.0          0          0          0          0          0          0          0 
     420.0     130.92       0.46        2.6         50       3681        776        621        0.0          0          0          0          0          0          0          0 
     425.0     128.61       0.47        2.2         50       3001        785        621        0.0          0          0          0          0          0          0          0 
     430.0     134.09       0.45        2.1         50       2287        802        620        0.0          0          0          0          0          0          0          0 
     435.0     115.69       0.52        3.0         53       2839        790        621        0.0          0          0          0          0          0          0          0 
     440.0     132.34       0.45        2.8         60       2800        806        621        0.0          0          0          0          0          0          0          0 
     445.0     114.03       0.53        6.2         60       3860        808        621        0.0          0          0          0          0          0          0          0 
     450.0     124.29       0.48        6.1         57       4618        808        621        0.0          0          0          0          0          0          0          0 
     455.0     118.85       0.50        6.5         50       3914        803        620        0.0          0          0          0          0          0          0          0 
     460.0     134.06       0.45        5.6         50       3043        794        620        0.0          0          0          0          0          0          0          0 
     465.0     104.07       0.58        6.3         49       1759        790        621        0.0          0          0          0          0          0          0          0 
     470.0     147.90       0.41        3.0         59       1305        810        620        0.0          0          0          0          0          0          0          0 
     475.0     130.91       0.46        4.8         60       1769        811        620        0.0          0          0          0          0          0          0          0 
     480.0     127.29       0.47        4.5         60       1775        817        620        0.0          0          0          0          0          0          0          0 
     485.0      96.08       0.62        5.4         60       2186        816        620        0.0          0          0          0          0          0          0          0 
     490.0      61.14       0.98        6.7         54       4010        839        620        0.0          0          0          0          0          0          0          0 
     495.0      68.15       0.88        4.3         60       2193        832        620        0.0          0          0          0          0          0          0          0 
     500.0     125.95       0.48        3.4         60       2499        873        620        0.0          0          0          0          0          0          0          0 
     505.0      75.69       0.79        4.5         60       2299        872        620        0.0          0          0          0          0          0          0          0 
     510.0     122.50       0.49        3.7         60       2456        862        620        0.0          0          0          0          0          0          0          0 
     515.0     127.22       0.47        3.7         60       1888        866        620        0.0          0          0          0          0          0          0          0 
     520.0      73.75       0.81        4.5         60       1890       1016        673        0.0          0          0          0          0          0          0          0 
     525.0      70.11       0.86        4.0         60       1706       1043        679        0.0          0          0          0          0          0          0          0 
     530.0      91.87       0.65        2.4         60       1634       1051        679        0.0          0          0          0          0          0          0          0 
     535.0     108.70       0.55        2.4         60       1730       1043        679        0.0          0          0          0          0          0          0          0 
     540.0      81.59       0.74        2.7         60       1499       1032        679        0.0          0          0          0          0          0          0          0 
     545.0      81.59       0.74        2.7         60       1499       1032        679        0.0          0          0          0          0          0          0          0 
     550.0      75.67       0.79        6.7         60       2507       1041        679        0.0          0          0          0          0          0          0          0 
     555.0     130.35       0.46        5.6         60       1784       1030        679        0.0          0          0          0          0          0          0          0 
     560.0     129.07       0.46        4.3         60       2303       1020        699        0.0          0          0          0          0          0          0          0 
     565.0     129.07       0.46        4.0         60       2303       1020        699        0.0          0          0          0          0          0          0          0 
     570.0     130.87       0.46        3.0         60       2090       1028        699        0.0          0          0          0          0          0          0          0 
     575.0     128.58       0.47        3.5         60       2369       1019        699        0.0          0          0          0          0          0          0          0 
     580.0     132.56       0.45        2.7         60       1704       1000        699        0.0          0          0          0          0          0          0          0 
     585.0     124.24       0.48        4.4         60       1762        998        699        0.0          0          0          0          0          0          0          0 
     590.0      77.32       0.78        3.9         60       2245       1055        712        0.0          0          0          0          0          0          0          0 
     595.0     156.05       0.38        2.5         60       3081       1103        723        0.0          0          0          0          0          0          0          0 
     600.0     154.72       0.39        3.5         60       3075       1108        724        0.0          0          0          0          0          0          0          0 
     605.0     129.45       0.46        3.1         60       2153       1107        724        0.0          0          0          0          0          0          0          0 
     610.0     134.83       0.44        2.6         60       2250       1111        724        0.0          0          0          0          0          0          0          0 
     615.0     104.59       0.57        2.8         60       1852       1092        723        0.0          0          0          0          0          0          0          0 
     620.0     114.67       0.52        1.7         60       1747       1102        723        0.0          0          0          0          0          0          0          0 
     625.0     112.29       0.53        3.3         60       2417       1133        723        0.0          0          0          0          0          0          0          0 
     630.0     153.99       0.39        2.8         60       2475       1144        723        0.0          0          0          0          0          0          0          0 
     635.0     112.31       0.53        3.1         60       2178       1150        723        0.0          0          0          0          0          0          0          0 
     640.0      99.24       0.60        2.6         60       2063       1156        723        0.0          0          0          0          0          0          0          0 
     645.0      92.13       0.65        2.9         60       1800       1166        723        0.0          0          0          0          0          0          0          0 
     650.0      78.48       0.76        2.3         60       1654       1206        723        0.0          0          0          0          0          0          0          0 
     655.0      81.95       0.73        4.4         60       2145       1270        723        0.0          0          0          0          0          0          0          0 
     660.0      80.03       0.75        5.1         60       2407       1279        723        0.0          0          0          0          0          0          0          0 
     665.0      34.06       1.76        8.1         55       2751       1286        723        0.0          0          0          0          0          0          0          0 
     670.0      51.89       1.16        7.4         60       2903       1296        723        0.0          0          0          0          0          0          0          0 
     675.0      59.35       1.01        6.1         60       2193       1305        723        0.0          0          0          0          0          0          0          0 
     680.0      75.81       0.79        4.5         60       1900       1310        723        0.0          0          0          0          0          0          0          0 
     685.0      98.51       0.61        2.7         60       2243       1348        723        0.0          0          0          0          0          0          0          0 
     690.0      73.36       0.82        2.6         60       1914       1354        723        0.0          0          0          0          0          0          0          0 
     695.0      79.56       0.75        2.5         60       2140       1357        723        0.0          0          0          0          0          0          0          0 
     700.0     101.42       0.59        2.3         60       3233       1360        723        0.0          0          0          0          0          0          0          0 
     705.0      79.14       0.76        2.6         60       1906       1360        723        0.0          0          0          0          0          0          0          0 
     710.0      32.06       1.87        7.1         60       2999       1352        723        0.0          0          0          0          0          0          0          0 
     715.0     101.81       0.59        2.3         60       2657       1363        722        0.0          0          0          0          0          0          0          0 
     720.0     118.81       0.50        1.6         60       2326       1366        722        0.0          0          0          0          0          0          0          0 
     725.0      86.95       0.69        0.7         60       2218       1349        722          0          0          0          0          0          0          0          0 
     730.0     119.25       0.50        2.6         60       2113       1353        723          0          0          0          0          0          0          0          0 
     735.0     140.27       0.43        4.7         60       2203       1351        722          0          0          0          0          0          0          0          0 
     740.0      85.42       0.70        4.4         60       1545       1358        722          0          0          0          0          0          0          0          0 
     745.0     146.50       0.41        3.0         60       2236       1408        722          0          0          0          0          0          0          0          0 
     750.0     124.09       0.48        2.9         60       2154       1409        722          0          0          0          0          0          0          0          0 
     755.0      88.43       0.68        2.4         60       2047       1417        722          0          0          0          0          0          0          0          0 
     760.0      89.83       0.67        2.6         60       1990       1419        722          0          0          0          0          0          0          0          0 
     765.0     100.40       0.60        3.0         60       2430       1433        722          0          0          0          0          0          0          0          0 
     770.0      80.55       0.74        2.9         60       1478       1433        722          0          0          0          0          0          0          0          0 
     775.0      62.46       0.96        2.2         60       1402       1475        722          0          0          0          0          0          0          0          0 
     780.0      72.70       0.83        3.4         60       1661       1483        722          0          0          0          0          0          0          0          0 
